"","DSS Status","CP Thrptc Area Cde","TR Trial Num","TR Trial Alias","TR Cmpnd Desc","TR Phase Cde","TR Pln Entr Trt","Cfm Entr Trt","TR Cntrys Pln","TR Sites Pln","TR PA Fct","TR PA Act","TR FPV Fct","TR FPV Act","TR LPV Fct","TR LPV Act","TR Primary Outcome LPV Fct","TR Primary Outcome LPV Act","TR Primary Outcome DB Lock Fct","TR Primary Outcome DB Lock Act","TR DB Fnlzd Fct","TR DB Fnlzd Act","TR Fnl Rpt Cmplt Fct","TR Fnl Rpt Cmplt Act","TR Trial Publication Fct","TR Trial Publication Act","TR Managing MU Cde","TR DMgmt MU Cde","TR Finance MU Cde","TR Rglty Category Cde","TR Funding","TR Canc Stp Flg","TR Trial Status Desc Cancel/Stop","TR Date Hld Canc Stp","TR CRF Agreement/TG 3 Fct","TR CRF Agreement/TG 3 Act","TR CRF Aprvl/TG 4 Fct","TR CRF Aprvl/TG 4 Act","TR Sys in Prod Fct","TR Sys in Prod Act","TR Trial Desc","TR Critical Path","LY","Manager","Data Management System","Data Management Support (Lilly/TPO)","Clinical Data Associate","CDM Name","Comments","eCOA Flag"
"925","Archive","ONC",16448,"I4X-MC-JFCY","Necitumumab","II","25",NA,1,10,2017-09-30,NA,2018-01-31,NA,2021-04-20,NA,2020-04-19,NA,2020-05-20,NA,2021-05-20,NA,2021-09-18,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","Yes","Trial Cancelled - Created",2016-08-18,NA,NA,NA,NA,NA,NA,"Ph II - Neci - Sq Esophageal","Critical","LLY3012211","Hector R Rivera","InForm/Clintrial (CDR)","ICON (Process)","Rachna Singh",NA,"DKrey (5/25/16)- Hetu Gadhia to assist during study build.  Will become CDA sometime after FPV",NA
"926","Archive","ONC",16362,"I3O-MC-JSBJ","Merestinib","II","50","0",6,15,2016-07-31,2016-07-29,2017-09-15,NA,2021-03-09,NA,2020-03-05,NA,2020-04-05,NA,2021-04-09,NA,2021-04-09,NA,NA,NA,"COR","COR","PRO","CT-EXP","Corporate","Yes","Trial Cancelled - Protocol Approved",2017-03-16,NA,NA,NA,NA,NA,NA,"Ph II - Merestinib - NSCLC - 2nd Line - Exon 14 deletion","Not Critical","LLY2801653","Christopher Helton","InForm/Clintrial (CDR)","ICON (Process)","Karen L Kastigar",NA,"Manager switched to HRivera 01Feb2017&#58;Transitioned to CHelton Nov2017",NA
"927","Archive","ONC",16357,"I4T-MC-JVDL","Ramucirumab","I","74","29",7,10,2016-03-18,2016-03-29,2016-10-17,2016-10-24,2022-11-16,NA,2017-10-19,2017-10-19,2017-12-07,2017-12-08,2022-12-16,2022-06-16,2021-06-23,2020-01-13,NA,NA,"COR","CHI","COR","CTCONF","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"Ph I-Ramucirumab/Necitumumab+Osimertinib-NSCLC-3rd gen TKI","Critical","LLY3009806","Kalyan Kumar Reddy Burla","InForm","Chiltern International Limited","Yasha Sharma","Angele Williams","InForm Version 6.1 - 1/12/2017 cnh",NA
"928","Archive","ONC",16348,"I5F-MC-JSCC","CSF-1R (CS4) (LY3022855)","I/IB","90","72",7,35,2016-02-26,2016-02-26,2016-06-15,2016-06-16,2018-12-14,2018-12-14,2018-12-14,2018-12-14,2019-01-30,2019-02-05,2019-01-30,2019-02-05,2019-07-18,2019-10-26,NA,NA,"COR","COR","PRO","CT-EXP","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Ph 1a/b - CS4 + PD-L1 or CTLA-4 - Solid Tumors","Not Critical","LLY3022855","Christopher Helton","InForm","Novella","Tom Kim",NA,"DKrey (oct 12) - SDTM not required to be delivered by Novella for this trial; Dkrey (9/17) - K. Kastigar was prior CDA.  InForm Version 6.0 - 1/12/2017 cnh. Manager switched to HRivera 01Feb2017. CDA transitioned to Yan Zeng from Sara Sukenik Oct2017; Transitioned to C Helton Nov2017",NA
"929","Archive","ONC",16346,"I4T-JE-B005","Ramucirumab","IV","350","403",1,80,2016-07-01,2016-07-01,2017-04-30,2017-04-03,2020-01-31,2020-01-28,2019-10-31,NA,2020-05-22,2020-05-22,2020-05-22,2020-05-22,2020-10-30,2020-10-28,NA,NA,"JP","JP","JP","PMSNI1","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"JP_PMS-Ph IV - Ramucirumab + Docetaxel - NSCLC","Not Critical","LLY3009806","Yuko Ochiai","Medidata Rave","EPS Associates Co.,Ltd.","Mika Ishimaru",NA,"Japan PMSS<br>DM Vendor is EPS.",NA
"930","Archive","ONC",16345,"I6F-MC-JJCH","Notch Inhibitor II (LY3039478)","I","24",NA,1,1,2018-03-20,NA,2018-06-20,NA,2018-08-16,NA,2018-08-16,NA,2018-10-30,NA,2018-10-30,NA,2018-12-30,NA,NA,NA,"BOS","ECP","PRB","CTCONF","Corporate","Yes","Trial Cancelled - Created",2017-02-23,NA,NA,NA,NA,NA,NA,"PGP DDI","Not Critical","LLY3039478",NA,NA,NA,NA,NA,NA,NA
"931","Archive","ONC",16344,"I6F-MC-JJCG","Notch Inhibitor II (LY3039478)","I","12","12",1,1,2016-06-20,2016-06-21,2016-09-30,2016-10-04,2016-11-25,2016-11-11,2016-11-18,2016-11-11,2017-01-13,2017-01-13,2017-01-13,2017-01-13,2017-04-18,2017-04-21,NA,NA,"BOS","ECP","PRB","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Absolute Bioavailability","Not Critical","LLY3039478","Kevin L Schnippel",NA,NA,NA,NA,NA,NA
"932","Archive","ONC",16343,"I6F-MC-JJCF","Notch Inhibitor II (LY3039478)","I","8","6",1,1,2016-06-22,2016-06-24,2016-09-29,2016-09-29,2016-11-23,2016-11-16,2016-11-23,2016-11-16,2017-01-25,2017-01-26,2017-01-25,2017-01-26,2017-11-07,2017-11-06,NA,NA,"BOS","ECP","PRB","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"C14","Not Critical","LLY3039478","Kevin L Schnippel",NA,NA,NA,NA,NA,NA
"933","Archive","ONC",16342,"I3Y-MC-JPCJ","Abemaciclib","II","231","120",11,41,2016-07-22,2016-07-22,2017-01-16,2017-01-12,2019-04-30,2018-11-09,2018-12-03,2018-04-20,2018-05-22,2018-05-22,2019-05-30,2019-01-14,2019-07-31,2018-10-31,NA,NA,"COR","INV","COR","CT-EXP","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Ph II - Abemaciclib + TBD - Pancreas - 2nd Line","Critical","LLY2835219","Laura L Davidson","InForm/Clintrial (CDR)","inVentiv Clinical Solutions (Process)",NA,"Misty Witherite - Network",NA,NA
"934","Archive","ONC",16341,"I3Y-MC-JPCI","Abemaciclib","II","330",NA,12,90,2018-01-19,NA,2018-05-18,NA,2023-09-29,NA,NA,NA,NA,NA,2023-10-16,NA,2023-12-11,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","Yes","Trial Cancelled - Created",2017-06-19,NA,NA,NA,NA,NA,NA,"Ph II-mBC - Abema+NSAI vs Abema+Fulvestrant","Not Critical","LLY2835219","Laura L Davidson","InForm/Clintrial (CDR)","inVentiv Clinical Solutions (Process)",NA,NA,NA,NA
"935","Archive","ONC",16340,"I3Y-MC-JPCH","Abemaciclib","II","200",NA,15,40,2018-10-15,NA,2019-03-01,NA,2022-08-15,NA,2021-08-15,NA,2021-09-14,NA,2021-09-16,NA,2022-01-15,NA,NA,NA,"CRO","COR","COR","CTCONF","Corporate","Yes","Trial Cancelled - Created",2018-08-22,NA,NA,NA,NA,NA,NA,"Ph II - Abemaciclib - Gastric/GEJ - Her2+","Critical","LLY2835219","Laura L Davidson","InForm/Clintrial (CDR)","Syneos (Process)",NA,NA,NA,"N"
