"","DSS Status","CP Thrptc Area Cde","TR Trial Num","TR Trial Alias","TR Cmpnd Desc","TR Phase Cde","TR Pln Entr Trt","Cfm Entr Trt","TR Cntrys Pln","TR Sites Pln","TR PA Fct","TR PA Act","TR FPV Fct","TR FPV Act","TR LPV Fct","TR LPV Act","TR Primary Outcome LPV Fct","TR Primary Outcome LPV Act","TR Primary Outcome DB Lock Fct","TR Primary Outcome DB Lock Act","TR DB Fnlzd Fct","TR DB Fnlzd Act","TR Fnl Rpt Cmplt Fct","TR Fnl Rpt Cmplt Act","TR Trial Publication Fct","TR Trial Publication Act","TR Managing MU Cde","TR DMgmt MU Cde","TR Finance MU Cde","TR Rglty Category Cde","TR Funding","TR Canc Stp Flg","TR Trial Status Desc Cancel/Stop","TR Date Hld Canc Stp","TR CRF Agreement/TG 3 Fct","TR CRF Agreement/TG 3 Act","TR CRF Aprvl/TG 4 Fct","TR CRF Aprvl/TG 4 Act","TR Sys in Prod Fct","TR Sys in Prod Act","TR Trial Desc","TR Critical Path","LY","Manager","Data Management System","Data Management Support (Lilly/TPO)","Clinical Data Associate","CDM Name","Comments","eCOA Flag"
"1619","Archive","AIIMIN",14848,"I6M-MC-SSAC","BAFF/IL-17 Bispecific Antibody (LY3090106)","I","43","43",8,6,2013-05-17,2013-06-03,2013-08-23,2013-08-21,2015-10-03,NA,2015-01-22,2015-01-22,2015-06-16,2015-06-16,2015-12-25,2015-12-15,2016-04-25,2016-04-25,NA,NA,"AME","APT","PRX","CT-EXP","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"BAFF/IL-17 Bispecific Ab Single Ascending Dose Study in RA","Critical","LLY3090106","Richard Turner","TBD","Aptiv Solutions",NA,NA,NA,NA
"1620","Archive","AIIMIN",14829,"I6M-MC-SSAB","BAFF/IL-17 Bispecific Antibody (LY3090106)","IIB","280",NA,9,81,2022-09-27,NA,2022-12-13,NA,2024-06-25,NA,2023-11-13,NA,2023-12-14,NA,2024-07-26,NA,2024-10-25,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","No","Trial on Hold - Created",2018-11-07,NA,NA,NA,NA,NA,NA,"POC Study","Critical","LLY3090106",NA,NA,NA,NA,NA,NA,"Y"
"1621","Archive","AIIMIN",14828,"I6M-JE-SSAA","BAFF/IL-17 Bispecific Antibody (LY3090106)","I","30","30",1,1,2018-09-09,2018-09-09,2018-11-19,2018-11-19,2019-03-21,2019-03-21,2019-03-21,2019-03-21,2019-05-28,2019-05-28,2019-05-28,2019-05-28,2019-10-21,2019-10-21,NA,NA,"JCP","COR","PRX","CT-EXP","Corporate","No","Final Report Complete",2018-07-25,NA,NA,NA,NA,NA,NA,"Japan Phase 1 Study","Critical","LLY3090106","Richard Turner","TBD",NA,NA,NA,NA,NA
"1622","Archive","AIIMIN",14778,"I4V-GH-JAGR","Baricitinib","I","40","33",1,1,2014-02-03,2014-02-03,2016-05-03,2016-05-04,2016-09-20,2016-07-12,2016-09-20,2016-07-12,2016-10-05,2016-10-06,2016-10-05,2016-10-06,2017-01-27,2017-02-03,NA,NA,"COR","COR","PRB","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"China PK Study","Critical","LLY3009104","Kevin L Schnippel","Medidata Rave","COVANCE",NA,NA,NA,NA
"1623","Archive","AIIMIN",14728,"I1F-MC-RHBL","Ixekizumab","III","180","204",3,35,2012-12-07,2012-12-07,2013-03-18,2013-03-12,2015-05-08,2015-05-14,2014-05-05,2014-05-08,2014-06-25,2014-06-25,2015-07-09,2015-07-13,2016-03-14,2016-03-17,NA,NA,"COR","I3","COR","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Phase 3 - Autoinjector Trial","Critical","LLY2439821","Jude Joseph Burger","InForm/Clintrial (ICC)","inVentiv Clinical Solutions (Process)","Brittany Lora Meibeyer",NA,NA,NA
"1624","Archive","AIIMIN",14612,"I4V-MC-JAGO","Baricitinib","I","16","16",1,1,2014-08-01,2014-08-07,2014-11-05,2014-11-05,2014-12-25,2015-01-05,2014-12-25,2015-01-05,NA,NA,2015-03-03,2015-02-26,2015-06-07,2015-06-16,NA,NA,"BOS","COV","PRB","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,2014-09-04,NA,NA,"Relative Bioavailability","Not Critical","LLY3009104","Kevin L Schnippel","Medidata Rave","COVANCE",NA,NA,NA,NA
"1625","Archive","AIIMIN",14611,"I4V-MC-JAGN","Baricitinib","I","30",NA,1,1,2016-12-18,NA,2017-03-28,NA,2017-06-15,NA,2017-06-15,NA,2017-09-15,NA,2017-09-15,NA,2017-12-30,NA,NA,NA,"BOS","COR","PRB","CTCONF","Corporate","Yes","Trial Cancelled - Created",2016-08-02,NA,NA,NA,NA,NA,NA,"Definitive Food Effects",NA,"LLY3009104","Kimberly L O'Day",NA,NA,NA,NA,NA,NA
"1626","Archive","AIIMIN",14610,"I4V-MC-JAGM","Baricitinib","I","8","8",1,1,2014-04-16,2014-04-17,2015-01-14,2015-01-14,2015-02-20,2015-02-19,2015-02-20,2015-02-13,2015-03-30,2015-03-25,2015-03-30,2015-03-25,2015-06-18,2015-06-08,NA,NA,"BOS","COR","PRB","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Absolute Bioavailability","Critical","LLY3009104","Kimberly L O'Day","Medidata Rave","COVANCE",NA,NA,NA,NA
"1627","Archive","AIIMIN",14609,"I4V-MC-JAGL","Baricitinib","I","33","28",1,1,2013-03-06,2013-03-01,2013-05-20,2013-05-20,2013-08-18,2013-08-18,2013-08-18,2013-08-18,2013-10-28,2013-10-30,2013-10-28,2013-10-30,2014-03-06,2014-03-06,NA,NA,"BOS","COV","PRB","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Digoxin DDI",NA,"LLY3009104","Kevin L Schnippel","Medidata Rave","COVANCE",NA,NA,NA,NA
"1628","Archive","AIIMIN",14608,"I4V-MC-JAGK","Baricitinib","I","18","18",1,1,2013-05-22,2013-05-16,2013-08-02,2013-08-05,2013-10-26,2013-10-26,2013-10-26,2013-10-26,2014-02-27,2014-02-25,2014-02-27,2014-02-25,2014-06-30,2014-08-04,NA,NA,"BOS","COR","PRB","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Rifampin DDI",NA,"LLY3009104","Kevin L Schnippel","Medidata Rave","COVANCE",NA,NA,NA,NA
"1629","Archive","AIIMIN",14607,"I4V-MC-JAGJ","Baricitinib","I","36","36",1,1,2013-06-19,2013-06-13,2013-08-27,2013-08-27,2013-11-09,2013-11-09,2013-11-12,2013-11-09,2014-03-28,2014-03-27,2014-03-28,2014-03-27,2014-07-24,2014-07-23,NA,NA,"BOS","COV","PRB","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Ketoconazole  and Fluconazole DDI","Critical","LLY3009104","Kimberly L O'Day","Medidata Rave","COVANCE",NA,NA,NA,NA
"1630","Archive","AIIMIN",14606,"I4V-MC-JAGI","Baricitinib","I","40","40",1,1,2013-08-14,2013-08-14,2013-10-14,2013-10-08,2013-12-18,2013-12-18,2013-12-18,2013-12-18,2014-05-08,2014-05-21,2014-05-08,2014-05-21,2014-09-19,2014-09-17,NA,NA,"BOS","COR","PRB","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Statin DDI","Critical","LLY3009104","Kimberly L O'Day","Medidata Rave","COVANCE",NA,NA,NA,NA
"1631","Archive","AIIMIN",14605,"I4V-MC-JAGH","Baricitinib","I","18","18",1,1,2013-08-07,2013-08-07,2013-10-24,2013-10-24,2013-12-13,2013-12-16,2013-12-13,2013-12-16,2014-04-23,2014-04-23,2014-04-23,2014-04-23,2014-08-19,2014-08-15,NA,NA,"BOS","COR","PRB","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Cyclosporin DDI","Critical","LLY3009104","Kimberly L O'Day","Medidata Rave","COVANCE",NA,NA,NA,NA
"1632","Archive","AIIMIN",14604,"I4V-MC-JAGG","Baricitinib","I","18","18",1,1,2013-07-03,2013-07-09,2013-09-11,2013-09-11,2013-11-25,2013-11-25,2013-11-25,2013-11-25,2014-04-08,2014-04-04,2014-04-08,2014-04-04,2014-08-05,2014-08-08,NA,NA,"BOS","COR","PRB","CTCONF","Corporate","No","Trial File Closed",2012-05-18,NA,NA,NA,NA,NA,NA,"Probenecid DDI","Critical","LLY3009104","Kevin L Schnippel","Medidata Rave","COVANCE",NA,NA,NA,NA
"1633","Archive","AIIMIN",16719,"I4V-MC-JAIF","Baricitinib","IV","810",NA,9,175,2018-04-30,NA,2018-07-30,NA,2020-11-30,NA,NA,NA,NA,NA,2020-12-31,NA,2020-03-31,NA,NA,NA,"CRO","CRO",NA,"PMS-IN","Corporate","Yes","Trial Cancelled - Created",2017-11-16,NA,NA,NA,NA,NA,NA,"EUCAN Treat to Target with Bari vs SOC in MTX-IR RA pats","Not Critical","LLY3009104","Marisa Alamillo","TBD","Project Sourced","Rita Papen",NA,NA,NA
"1634","Archive","AIIMIN",16736,"I6T-MC-AMAV","IL-23 Antibody II (LY3074828)","III","30",NA,1,1,2018-12-31,NA,2019-05-30,NA,2020-12-31,NA,2020-12-31,NA,2021-01-30,NA,2021-04-30,NA,2021-06-15,NA,NA,NA,"AME","COR","PRB","CT-EXP","Corporate","Yes","Trial Cancelled - Created",2018-11-28,NA,NA,NA,NA,NA,NA,"MOA","Not Critical","LLY3074828","Stacey E Reel",NA,NA,NA,NA,NA,"N"
"1635","Archive","AIIMIN",16749,"I4V-JE-JAID","Baricitinib","IV","0",NA,1,0,2017-08-18,NA,2017-11-30,NA,2018-08-31,NA,NA,NA,NA,NA,2018-09-30,NA,2018-11-09,NA,NA,NA,"COR","COR","COR","PMS-IN","Local","Yes","Trial Cancelled - Trial Dsgn Elmt Pln Cmplt",2017-10-11,NA,NA,NA,NA,NA,NA,"Japan-Eval immune response of Live Zoster Vaccine in RA Pats","Critical","LLY3009104","Yuko Ochiai","InForm/Clintrial (CDR)","ICON (Process)","Atsuko Hata",NA,NA,NA
"1636","Archive","AIIMIN",16763,"I8K-MC-JPDK","BTK Inhibitor (LY3337641)","I","75",NA,1,1,2019-03-16,NA,2019-06-15,NA,2019-12-18,NA,2019-12-18,NA,NA,NA,2020-03-09,NA,2020-05-03,NA,NA,NA,"BOS","COV","PRB","CTCONF","Corporate","Yes","Trial Cancelled - Created",2018-06-12,NA,NA,NA,NA,NA,NA,"TQT Study","Not Critical","LLY3337641",NA,NA,NA,NA,NA,NA,NA
"1637","Archive","BI",15049,"I2M-MC-GSDL","Blosozumab","III","1200",NA,8,106,2014-06-28,NA,2016-10-09,NA,2020-07-07,NA,2020-07-07,NA,2020-09-07,NA,2020-09-07,NA,2020-12-01,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","Yes","Trial Cancelled - Created",2014-07-14,NA,NA,NA,NA,NA,NA,"2 Year Open label Alendronate","Critical","LLY2541546","Angela Elena Hall",NA,NA,NA,NA,NA,NA
"1638","Archive","BI",14975,"I1Q-MC-JDDL","Myostatin Antibody (LY2495655)","III","1000",NA,20,100,2015-12-30,NA,2017-05-26,NA,2019-10-31,NA,NA,NA,NA,NA,2019-12-27,NA,2020-03-27,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","Yes","Trial Cancelled - Created",2014-09-30,NA,NA,NA,NA,NA,NA,"Phase 3 Trial to evaluate Myostatin Ab in Elderly Fallers",NA,"LLY2495655","Angela Elena Hall",NA,NA,NA,NA,NA,NA
"1639","Archive","BI",14940,"I2M-MC-GSDK","Blosozumab","III","1114","0",1,98,2014-02-27,2014-03-12,2016-08-15,NA,2019-11-12,NA,2019-11-12,NA,2020-02-17,NA,2020-02-17,NA,2020-04-29,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","Yes","Trial Cancelled - Protocol Approved",2015-04-24,NA,NA,NA,NA,2015-08-07,NA,"Phase 3 study of Blosozumab in Japanese severe OP patients","Critical","LLY2541546","Angela Elena Hall","InForm/Clintrial (ICC)","inVentiv Clinical Solutions (Process)",NA,NA,NA,NA
"1640","Archive","BI",14695,"I1Q-MC-JDDK","Myostatin Antibody (LY2495655)","II/III","1500",NA,20,150,2015-11-27,NA,2016-04-29,NA,2019-09-27,NA,NA,NA,NA,NA,2019-11-29,NA,2020-02-28,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","Yes","Trial Cancelled - Created",2014-09-30,NA,NA,NA,NA,NA,NA,"Phase IIb / III - Evaluate Myostatin Ab in Elderly Fallers",NA,"LLY2495655","Angela Elena Hall",NA,NA,NA,NA,NA,NA
"1641","Archive","BI",14598,"H9B-MC-BCEF","Tabalumab","III","9","9",3,40,2012-06-15,2012-06-15,2012-09-05,2012-09-17,2013-12-31,2013-08-19,2013-12-31,2013-08-19,2013-11-14,2013-11-14,2013-11-28,2013-11-14,2014-05-16,2014-05-16,NA,NA,"COR","I3","COR","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,2012-06-26,NA,"Phase 3 Autoinjector Trial","Critical","LLY2127399","Jude Joseph Burger","InForm/Clintrial (ICC)","inVentiv Clinical Solutions (Process)","Kevin M Prentice","Erin Fink",NA,NA
"1642","Archive","BI",14572,"I2M-MC-GSDI","Blosozumab","III","90",NA,1,1,2016-11-11,NA,2017-01-11,NA,2017-08-11,NA,2017-08-11,NA,2017-10-11,NA,2017-10-11,NA,2017-12-11,NA,NA,NA,"BOS","COR","PRB","CTCONF","Corporate","Yes","Trial Cancelled - Created",2013-08-08,NA,NA,NA,NA,NA,NA,"Bridging Study","Not Critical","LLY2541546","Angela Elena Hall","TBD","Process Sourced (iVC, ICON or QUI)",NA,NA,NA,NA
"1643","Archive","BI",14544,"I2M-MC-GSDG","Sclerostin Antibody (LY2541546)","III","400",NA,8,56,2015-09-11,NA,2016-01-11,NA,2019-02-11,NA,2019-02-11,NA,2019-04-11,NA,2019-04-11,NA,2019-06-11,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","Yes","Trial Cancelled - Created",2014-09-29,NA,NA,NA,NA,NA,NA,"Sclerostin for Bridging in Men, men w/ primary hypogonadal O",NA,"LLY2541546","Angela Elena Hall","TBD","Process Sourced (iVC, ICON or QUI)",NA,NA,NA,NA
"1644","Archive","BI",14499,"I1Q-MC-JDDJ","Myostatin Antibody (LY2495655)","II","172","202",5,25,2011-12-15,2011-12-16,2012-05-22,2012-05-22,2013-12-13,2013-12-12,2013-10-02,2013-09-16,NA,2014-02-05,2014-02-05,2014-02-05,2014-08-07,2014-08-07,NA,NA,"COR","COR","COR","CTTHER","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Elderly Fallers","Not Critical","LLY2495655","Angela Elena Hall","InForm/Clintrial (ICC)","inVentiv Clinical Solutions (Process)",NA,"Sveta Patel",NA,NA
"1645","Archive","BI",14319,"H9B-MC-BCEE","Tabalumab","II","36","2",1,6,2011-08-20,2011-11-03,2012-04-02,2012-05-22,2013-11-27,2013-05-28,2013-11-27,2013-05-28,NA,2013-08-05,2014-01-15,2013-08-05,2014-04-30,2014-05-08,NA,NA,"COR","AME","COR","CT-EXP","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"UCSD Biopsy/ MOA Study",NA,"LLY2127399","Jude Joseph Burger","SyncCapture","Applied Molecular Evolution",NA,NA,NA,NA
"1646","Archive","BI",14270,"I1Q-JE-JDDH","Myostatin Antibody (LY2495655)","I","44","47",1,1,2011-03-07,2011-03-04,2011-04-30,2011-04-30,2012-05-22,2012-05-22,2012-05-22,2012-05-22,2012-08-10,2012-08-10,2012-08-10,2012-08-10,2013-02-20,2013-02-20,NA,NA,"JCP","JP","PRX","CT-EXP","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"JP_Myostatin Ab_Ph I_Disuse atrophy","Critical","LLY2495655","Richard Turner","Remote Data Capture (RDC)","COVANCE",NA,NA,NA,NA
"1647","Archive","BI",13732,"H9B-MC-BCDV","Tabalumab","III","555","426",19,295,2010-09-09,2010-09-09,2011-01-17,2011-01-18,2014-01-22,2014-01-06,2013-03-31,2013-03-12,2013-08-16,2014-10-29,2014-04-01,2014-03-17,2014-08-25,2014-09-12,NA,NA,"QUI","QUI","COR","CT-EXP","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"LY+MTX vs PBO+MTX in TNF-IR population","Critical","LLY2127399","Jude Joseph Burger","InForm","QUINTILES (Project)","Kevin M Prentice",NA,NA,NA
"1648","Archive","BI",13710,"H9B-MC-BCDR","Tabalumab","II","18","18",1,1,2010-08-13,2010-08-27,2011-04-15,2011-04-13,2014-03-11,2014-03-05,2014-03-11,2014-03-05,2014-04-10,2014-04-10,2014-04-10,2014-04-17,2014-10-03,2014-10-14,NA,NA,"COR","I3","COR","CT-EXP","Corporate","No","Trial File Closed",NA,NA,2010-09-15,NA,2010-09-30,2010-12-20,NA,"Mechanistic Study in ESRD patients",NA,"LLY2127399","Jude Joseph Burger","InForm/Clintrial (ICC)","inVentiv Clinical Solutions (Process)","Keith E Herring","Bernadette Brown",NA,NA
"1649","Archive","BI",15172,"I2M-MC-GSDM","Blosozumab","I","40","15",1,1,2014-02-07,2014-02-07,2014-04-18,2014-04-18,2014-09-11,2014-07-25,2014-09-11,2014-07-25,2014-11-20,2014-09-12,2014-11-20,2014-09-12,2015-02-25,2015-02-10,NA,NA,"BOS","COR","PRB","CTCONF","Corporate","No","Trial File Closed",2013-08-08,NA,NA,NA,NA,NA,NA,"RBA","Not Critical","LLY2541546","Kevin L Schnippel","Medidata Rave","COVANCE",NA,NA,NA,NA
"1650","Archive","BI",13625,"I1F-JE-RHAM","Ixekizumab","IB","28","28",1,8,2010-07-02,2010-07-02,2010-12-02,2010-12-02,2013-01-16,2013-01-10,2013-01-16,2013-01-10,2013-05-10,2013-05-09,2013-05-10,2013-05-09,2013-09-20,2013-09-12,NA,NA,"APO","JP","PRX","CT-EXP","Corporate","No","Trial File Closed",NA,2010-07-02,2010-07-05,2010-07-02,2010-07-07,2010-12-10,2011-01-27,"JP IL17 Ph 1 extension study","Not Critical","LLY2439821","Motohide Nishi","Paper - Other","COVANCE",NA,NA,NA,NA
"1651","Archive","BI",13447,"H9B-EW-BCDU","Tabalumab","I","30",NA,1,2,2010-11-22,2010-11-16,2016-11-01,NA,2021-01-11,NA,2020-05-04,NA,2020-07-08,NA,2021-03-17,NA,2021-06-24,NA,NA,NA,"COR","ICS","PRB","CTCONF","Corporate","Yes","Trial Cancelled - Protocol Approved",2014-10-31,NA,NA,NA,NA,NA,NA,"China Lupus Phase I/ PK Trial",NA,"LLY2127399","Kimberly L O'Day",NA,NA,NA,NA,NA,NA
"1652","Archive","BI",13419,"H9B-MC-BCDP","Tabalumab","IIIB","1505","975",30,375,2010-09-17,2010-09-21,2011-07-14,2011-06-22,2014-03-04,NA,2014-03-04,2014-02-25,NA,2014-10-29,2014-05-30,2014-05-15,2014-11-18,2014-10-29,NA,NA,"QUI","QUI","COR","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"LA294 Phase IIIb RA Open Label Extension","Critical","LLY2127399","Jude Joseph Burger","InForm","QUINTILES (Project)","Kevin M Prentice",NA,NA,NA
"1653","Archive","BI",13251,"I2M-MC-GSDJ","Blosozumab","III","3350",NA,32,285,2016-07-11,NA,2017-01-02,NA,2020-07-15,NA,2020-07-15,NA,2020-09-30,NA,2020-09-30,NA,2020-10-31,NA,NA,NA,"COR","COR","COR","CTCONF","Corporate","Yes","Trial Cancelled - Scientific Review Cmplt",2015-04-28,NA,NA,NA,NA,NA,NA,"Global Registration-Active Comparator Fracture Trial",NA,"LLY2541546","Angela Elena Hall","InForm/Clintrial (ICC)","inVentiv Clinical Solutions (Process)",NA,NA,NA,NA
"1654","Archive","BI",13061,"I1F-JE-RHAL","Ixekizumab","IB","32","32",1,14,2010-01-29,2010-01-25,2010-05-14,2010-05-13,2011-12-14,2011-12-14,2011-12-14,2011-12-14,2012-03-09,2012-03-14,2012-03-09,2012-03-14,2012-08-02,2012-08-08,NA,NA,"APO","JP","PRX","CT-EXP","Corporate","No","Trial File Closed",2009-04-27,2010-02-01,2010-02-01,2010-02-22,2010-02-03,2010-03-01,2010-09-30,"JP LA426 Ph-1b RA","Critical","LLY2439821","Motohide Nishi","Paper - Other","COVANCE",NA,NA,NA,NA
"1655","Archive","BI",12978,"H9B-MC-BCDO","Tabalumab","III","1002","982",25,200,2010-09-09,2010-09-09,2011-01-17,2011-01-17,2013-08-29,2013-07-26,2012-12-30,2012-12-10,2013-03-19,2013-03-19,2013-10-15,2013-10-16,2014-03-31,2014-04-02,NA,NA,"QUI","QUI","COR","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"LY vs placebo safety & efficacy,6 mo S&Sx","Critical","LLY2127399","Jude Joseph Burger","InForm","QUINTILES (Project)","Kevin M Prentice",NA,NA,NA
"1656","Archive","BI",12409,"H9B-MC-BCDH","Tabalumab","II","150","158",12,80,2008-05-16,2008-05-16,2008-10-24,2008-10-28,2010-12-17,NA,2010-01-31,2010-01-27,2010-03-22,2010-02-18,2011-02-15,2011-02-15,2011-07-15,2013-04-02,2012-05-11,2013-04-18,"OMN","COR","COR","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,2008-10-17,2008-10-03,"RA Ph2 Dose expansion MTX INR, TNF Naive (IV)","Critical","LLY2127399",NA,NA,NA,NA,NA,NA,NA
"1657","Archive","BI",12061,"I1F-MC-RHAK","Ixekizumab","II","429","448",11,109,2008-11-18,2008-11-17,2009-08-26,2009-08-25,2012-07-03,2012-06-06,2011-06-20,2011-03-15,2011-04-30,2011-03-17,2012-08-02,2012-09-05,2013-12-10,2013-12-06,NA,NA,"PAR","PAR","COR","CT-EXP","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,2009-08-25,"Rheumatoid Arthritis - Phase 2","Critical","LLY2439821","Jude Joseph Burger","InForm","PAREXEL","Keith E Herring",NA,NA,NA
"1658","Archive","BI",12060,"I1F-MC-RHAJ","Ixekizumab","II","125","142",2,40,2010-02-08,2010-02-08,2010-04-24,2010-04-19,2016-09-01,2016-08-02,2011-01-28,2011-01-18,2011-03-03,2011-02-23,2016-10-16,2016-09-13,2017-07-07,2017-07-13,NA,NA,"PAR","PAR","COR","CTCONF","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Phase 2 - Psoriasis","Critical","LLY2439821","Jude Joseph Burger","InForm","PAREXEL","Nadine Billand",NA,NA,NA
"1659","Archive","BI",11953,"I2M-MC-GSDB","Blosozumab","II","153","153",5,25,2010-05-27,2010-06-01,2010-08-13,2010-08-11,2013-02-22,2013-02-22,2012-07-01,2012-05-16,2012-07-30,2012-07-30,2013-06-21,2013-07-10,2014-01-31,2014-01-31,NA,NA,"COR","COR","PRG","CT-EXP","Corporate","No","Trial File Closed",NA,NA,2010-05-27,NA,2010-06-07,2010-07-30,NA,"Phase 2 for Efficacy","Critical","LLY2541546","Angela Elena Hall","InForm/Clintrial (ICC)","inVentiv Clinical Solutions (Process)",NA,NA,NA,NA
"1660","Archive","BI",11768,"H9B-MC-BCDI","Tabalumab","II","160","182",15,120,2008-07-01,2008-07-02,2009-02-04,2009-02-09,2012-01-13,NA,2011-01-25,2011-01-27,2011-03-01,2011-03-01,2012-02-23,2012-02-21,2013-09-06,2013-11-01,2014-03-20,2014-08-29,"OMN","OMN","COR","CTTHER","Corporate","No","Trial File Closed",2007-10-09,NA,NA,NA,NA,2009-01-18,2009-01-18,"RA Open Label - safety follow up","Not Critical","LLY2127399","Jude Joseph Burger","InForm","Theorem Clinical Research (previously Omnicare)","Kathryn Knuckles","CRO",NA,NA
"1661","Archive","BI",11671,"I1Q-MC-JDDE","Myostatin Antibody (LY2495655)","II","384","396",11,39,2011-02-18,2011-02-22,2011-06-10,2011-07-14,2014-02-12,2014-02-19,2014-02-12,2014-02-19,2014-04-30,2014-04-30,2014-04-30,2014-04-30,2014-10-29,2014-11-21,NA,NA,"COR","COR","COR","CTTHER","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Phase II Myostatin - hip replacement surgery","Critical","LLY2495655","Angela Elena Hall","InForm/Clintrial (ICC)","inVentiv Clinical Solutions (Process)",NA,"Kim McMillian",NA,NA
"1662","Archive","BI",11353,"H9B-MC-BCDN","Tabalumab","III","424",NA,25,125,2015-05-15,NA,2015-10-15,NA,2018-05-01,NA,2018-05-01,NA,2018-08-19,NA,2018-08-19,NA,2018-12-20,NA,NA,NA,"QUI","QUI","COR","CTCONF","Corporate","Yes","Trial Cancelled - Created",2013-03-01,NA,NA,NA,NA,NA,NA,"Humira H2H, 6moS&Sx,TNF IR",NA,"LLY2127399","Jude Joseph Burger","InForm","QUINTILES (Project)",NA,NA,NA,NA
"1663","Archive","BI",13448,"H9B-MC-BCDQ","Tabalumab","III","675","0",3,50,2012-08-10,2012-08-07,2013-06-18,NA,2017-02-08,NA,2015-08-26,NA,NA,NA,2017-03-08,NA,2017-05-31,NA,NA,NA,"APO","ICC","COR","CTCONF","Corporate","Yes","Trial Cancelled - Protocol Approved",2013-04-07,NA,NA,NA,NA,NA,NA,"China RA Phase III","Critical","LLY2127399","Michelle Shuk-Foon Lim",NA,"Not Applicable",NA,NA,"Trial cancelled",NA
"1664","Archive","BI",15412,"I2M-MC-GSDQ","Blosozumab","I","40",NA,1,1,2018-04-09,NA,2018-10-09,NA,2019-11-16,NA,2019-11-16,NA,2020-02-16,NA,2020-02-16,NA,2020-05-16,NA,NA,NA,"COR","COR","PRB","CTCONF","Corporate","Yes","Trial Cancelled - Scientific Review Cmplt",2015-05-06,NA,NA,NA,NA,NA,NA,"China PK","Not Critical","LLY2541546","Kevin L Schnippel","TBD",NA,NA,NA,NA,NA
"1665","Archive","BI",15420,"I2M-MC-GSDR","Blosozumab","III","600",NA,4,35,2017-08-30,NA,2018-04-30,NA,2020-09-30,NA,2020-09-30,NA,2020-10-30,NA,2020-10-30,NA,2021-01-31,NA,NA,NA,"APO","ICC","COR","CTCONF","Corporate","Yes","Trial Cancelled - Trial Dsgn Elmt Pln Cmplt",2015-05-03,NA,NA,NA,NA,NA,NA,"China Registration - Active Comparator BMD Trial",NA,"LLY2541546",NA,NA,NA,NA,NA,NA,NA
"1666","Archive","BI",15423,"I2M-MC-GSDS","Blosozumab","I","50",NA,1,1,2019-02-15,NA,2019-05-30,NA,2019-11-30,NA,2019-11-30,NA,2020-01-30,NA,2020-01-30,NA,2020-04-30,NA,NA,NA,"BOS","COR","PRB","CTCONF","Corporate","Yes","Trial Cancelled - Created",2015-05-01,NA,NA,NA,NA,NA,NA,"Device Bridging Study","Not Critical","LLY2541546","Kevin L Schnippel","Medidata Rave",NA,NA,NA,NA,NA
"1667","Archive","CV",13980,"I5S-EW-EFJA","PCSK9 Antibody I (LY3015014)","I","68","69",1,1,2011-07-05,2011-07-01,2011-09-01,2011-09-01,2013-07-05,2013-06-21,2013-07-05,2013-06-21,2013-10-04,2013-10-17,2013-10-04,2013-10-17,2014-10-10,2014-10-06,NA,NA,"COR","COV","PRX","CT-EXP","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"PCSK9 Antibody Effort 2 Single Ascending Dose","Critical","LLY3015014","Richard Turner","Paper - Oracle Clinical","COVANCE",NA,NA,NA,NA
